Location,Date,Time,CO2,CO,Smoke
Kurla,Monday,18,1360,150,113
Kurla,Monday,19,1292,112,92
Turbhe,Monday,20,1402,88,114
Kurla,Monday,21,1376,80,122
Vashi,Monday,22,1272,51,116
Vashi,Monday,23,1197,38,96
Chembur,Tuesday,0,1185,31,77
Vashi,Tuesday,1,1136,31,76
Khar,Tuesday,2,1094,24,60
Turbhe,Tuesday,3,1010,19,200
Ulhas,Tuesday,4,1011,14,34
Turbhe,Tuesday,5,1066,8,28
Khar,Tuesday,6,1052,16,48
Panvel,Tuesday,7,1144,29,82
Ulhas,Tuesday,8,1333,64,112
Chembur,Tuesday,9,1351,87,101
Turbhe,Tuesday,10,1233,77,98
Panvel,Tuesday,11,1179,43,92
Khar,Tuesday,12,1236,61,95
Ulhas,Tuesday,13,1286,63,112
Turbhe,Tuesday,14,1371,164,128
Ulhas,Tuesday,15,1310,79,126
Turbhe,Tuesday,16,1292,95,131
Kurla,Tuesday,17,1383,150,135
Kurla,Tuesday,18,1581,307,151
Panvel,Tuesday,19,1776,46,172
Ulhas,Tuesday,20,1640,401,165
Thane,Tuesday,21,1313,197,136
Chembur,Tuesday,22,965,61,85
Vashi,Tuesday,23,913,26,53
Kurla,Wednesday,0,1080,55,97
Chembur,Wednesday,1,1044,53,110
Panvel,Wednesday,2,988,40,91
Ulhas,Wednesday,3,889,21,200
Chembur,Wednesday,4,831,10,32
Ulhas,Wednesday,5,847,7,44
Vashi,Wednesday,6,927,17,71
Ulhas,Wednesday,7,1091,33,104
Vashi,Wednesday,8,1587,202,141
Kurla,Wednesday,9,1545,200,200
Turbhe,Wednesday,10,1350,208,122
Khar,Wednesday,11,1263,166,143
Kurla,Wednesday,12,1206,114,113
Thane,Wednesday,13,1252,140,116
Turbhe,Wednesday,14,1287,169,123
Ulhas,Wednesday,15,1353,185,126
Chembur,Wednesday,16,1309,165,120
Kurla,Wednesday,17,1274,133,119
Thane,Wednesday,18,1510,233,149
Chembur,Wednesday,19,1525,242,145
Thane,Wednesday,20,1843,488,170
Vashi,Wednesday,21,1598,333,149
Panvel,Wednesday,22,1484,215,139
Thane,Wednesday,23,1677,367,134
Vashi,Thursday,0,1280,122,113
Turbhe,Thursday,1,1196,67,97
Panvel,Thursday,2,1184,43,82
Kurla,Thursday,3,1172,46,200
Khar,Thursday,4,1147,56,83
Ulhas,Thursday,5,978,30,65
Turbhe,Thursday,6,1100,27,60
Panvel,Thursday,7,1112,47,77
Ulhas,Thursday,8,1336,132,96
Chembur,Thursday,9,1408,239,119
Chembur,Thursday,10,1447,160,126
Khar,Thursday,11,1542,283,158
Turbhe,Thursday,12,1451,210,161
Vashi,Thursday,13,1328,154,124
Ulhas,Thursday,14,1207,112,102
Panvel,Thursday,15,1240,108,116
Kurla,Thursday,16,1306,111,124
Panvel,Thursday,17,1326,97,125
Panvel,Thursday,18,1473,191,148
Chembur,Thursday,19,1609,258,165
Khar,Thursday,20,1611,284,161
Turbhe,Thursday,21,1621,269,159
Thane,Thursday,22,1444,180,143
Vashi,Thursday,23,1418,116,130
Khar,Friday,0,1534,93,129
Khar,Friday,1,1484,131,119
Panvel,Friday,2,1367,92,104
Vashi,Friday,3,1344,132,200
Khar,Friday,4,1130,56,82
Chembur,Friday,5,1062,32,70
Thane,Friday,6,1076,29,63
Kurla,Friday,7,1028,27,67
Chembur,Friday,8,1155,36,84
Panvel,Friday,9,1235,57,83
Turbhe,Friday,10,1332,129,98
Khar,Friday,11,1445,148,114
Turbhe,Friday,12,1416,145,119
Chembur,Friday,13,1281,93,104
Vashi,Friday,14,1207,84,102
Panvel,Friday,15,1258,99,107
Vashi,Friday,16,1458,150,129
Kurla,Friday,17,1438,156,128
Thane,Friday,18,1478,122,121
Panvel,Friday,19,1808,262,157
Panvel,Friday,20,898,341,173
Kurla,Friday,21,1560,214,146
Vashi,Friday,22,1324,100,121
Panvel,Friday,23,1349,79,119
Panvel,Saturday,0,1239,66,99
Panvel,Saturday,1,1239,73,93
Khar,Saturday,2,1224,66,88
Vashi,Saturday,3,1078,44,200
Kurla,Saturday,4,1078,44,71
Thane,Saturday,5,1075,39,74
Thane,Saturday,6,1157,51,80
Kurla,Saturday,7,1314,107,89
Khar,Saturday,8,1797,336,114
Kurla,Saturday,9,1961,618,149
Kurla,Saturday,10,1771,438,157
Panvel,Saturday,11,1564,334,155
Turbhe,Saturday,12,1430,221,134
Panvel,Saturday,13,1417,207,119
Chembur,Saturday,14,1400,191,111
Kurla,Saturday,15,1317,185,104
Thane,Saturday,16,1318,141,99
Panvel,Saturday,17,1445,214,110
Khar,Saturday,18,1917,471,162
Chembur,Saturday,19,2040,685,187
Kurla,Saturday,20,1895,538,165
Chembur,Saturday,21,1595,319,145
Kurla,Saturday,22,1439,224,125
Panvel,Saturday,23,1142,67,101
Vashi,Sunday,0,1304,155,103
Vashi,Sunday,1,1074,49,88
Thane,Sunday,2,968,29,61
Turbhe,Sunday,3,929,25,200
Vashi,Sunday,4,941,25,59
Thane,Sunday,5,937,17,52
Vashi,Sunday,6,1017,27,64
Chembur,Sunday,7,1171,50,70
Vashi,Sunday,8,1541,218,97
Ulhas,Sunday,9,1539,285,95
Vashi,Sunday,10,1735,437,150
Thane,Sunday,11,1571,327,162
Vashi,Sunday,12,1452,283,154
Panvel,Sunday,13,1579,366,161
Ulhas,Sunday,14,1466,318,161
Vashi,Sunday,15,1280,228,128
Kurla,Sunday,16,1407,201,129
Khar,Sunday,17,1389,199,133
Khar,Sunday,18,1447,237,139
Panvel,Sunday,19,1551,261,137
Panvel,Sunday,20,1474,230,143
Vashi,Sunday,21,1800,349,177
Thane,Sunday,22,1379,183,138
Ulhas,Sunday,23,1201,88,117
Vashi,Monday,0,1205,85,107
Thane,Monday,1,1072,47,90
Turbhe,Monday,2,998,34,79
Kurla,Monday,3,933,26,200
Thane,Monday,4,883,17,60
Ulhas,Monday,5,869,11,40
Vashi,Monday,6,891,18,53
Turbhe,Monday,7,1173,84,84
Turbhe,Monday,8,1587,260,108
Vashi,Monday,9,1852,534,127
Kurla,Monday,10,1522,368,134
Khar,Monday,11,1438,200,135
Panvel,Monday,12,1393,145,142
Turbhe,Monday,13,1452,188,153
Chembur,Monday,14,1389,152,123
Ulhas,Monday,15,1207,103,104
Vashi,Monday,16,1365,193,129
Ulhas,Monday,17,1247,134,114
Panvel,Monday,18,1557,386,158
Kurla,Monday,19,1973,57,194
Panvel,Monday,20,1975,523,182
Chembur,Monday,21,1795,47,180
Chembur,Monday,22,1444,206,136
Thane,Monday,23,1488,216,127
Khar,Monday,18,1371,159,116
Thane,Monday,19,1161,70,107
Chembur,Monday,20,1064,44,88
Vashi,Monday,21,970,42,0
Chembur,Monday,22,954,28,78
Turbhe,Monday,23,931,20,57
Panvel,Tuesday,0,938,26,71
Thane,Tuesday,1,1166,78,85
Panvel,Tuesday,2,1643,319,124
Chembur,Tuesday,3,1934,506,151
Panvel,Tuesday,4,1617,135,150
Vashi,Tuesday,5,1473,135,152
Vashi,Tuesday,6,1379,135,139
Thane,Tuesday,7,1385,135,133
Turbhe,Tuesday,8,1379,135,126
Kurla,Tuesday,9,1322,135,128
Chembur,Tuesday,10,1496,135,169
Turbhe,Tuesday,11,1409,135,149
Chembur,Tuesday,12,1513,135,156
Vashi,Tuesday,13,1667,135,168
Turbhe,Tuesday,14,1667,135,176
Kurla,Tuesday,15,1430,135,135
Khar,Tuesday,16,1333,135,121
Thane,Tuesday,17,1262,135,99
Thane,Tuesday,18,1287,135,106
Ulhas,Tuesday,19,1134,135,96
Khar,Tuesday,20,999,135,63
Panvel,Tuesday,21,961,135,0
Turbhe,Tuesday,22,934,135,32
Vashi,Tuesday,23,913,135,28
Panvel,Wednesday,0,969,135,61
Kurla,Wednesday,1,1182,135,99
Turbhe,Wednesday,2,1740,135,157
Vashi,Wednesday,3,1819,135,166
Ulhas,Wednesday,4,1427,135,149
Ulhas,Wednesday,5,1390,135,135
Khar,Wednesday,6,1283,135,127
Thane,Wednesday,7,1304,135,122
Khar,Wednesday,8,1364,135,135
Panvel,Wednesday,9,1410,135,139
Panvel,Wednesday,10,1476,135,147
Kurla,Wednesday,11,1522,135,158
Chembur,Wednesday,12,1442,135,146
Chembur,Wednesday,13,1469,135,144
Vashi,Wednesday,14,1467,135,138
Khar,Wednesday,15,1421,135,143
Chembur,Wednesday,16,1175,135,116
Kurla,Wednesday,17,1215,135,109
Panvel,Wednesday,18,1127,135,92
Khar,Wednesday,19,1090,135,83
Panvel,Wednesday,20,1017,135,81
Kurla,Wednesday,21,997,135,0
Chembur,Wednesday,22,945,135,55
Turbhe,Wednesday,23,956,135,53
Thane,Thursday,0,966,135,67
Ulhas,Thursday,1,1064,135,91
Turbhe,Thursday,2,1300,135,113
